"","size_based.Assemblage","size_based.t","size_based.Method","size_based.Order.q","size_based.qD","size_based.qD.LCL","size_based.qD.UCL","size_based.SC","size_based.SC.LCL","size_based.SC.UCL","coverage_based.Assemblage","coverage_based.SC","coverage_based.t","coverage_based.Method","coverage_based.Order.q","coverage_based.qD","coverage_based.qD.LCL","coverage_based.qD.UCL"
"1","Assemblage1",1,"Rarefaction",0,9.12815533980583,8.95682354016131,9.29948713945035,0.00749610838578507,0.00659859234226848,0.00839362442930167,"Assemblage1",0.0074961679026847,1,"Rarefaction",0,9.1282282035068,8.95689640386227,9.29956000315132
"2","Assemblage1",86,"Rarefaction",0,629.5131105456,623.187157618308,635.839063472892,0.331741422676743,0.327187214835916,0.336295630517569,"Assemblage1",0.33174138418135,86,"Rarefaction",0,629.513001234855,622.060300415197,636.965702054513
"3","Assemblage1",172,"Rarefaction",0,1095.98208216175,1082.9108987534,1109.05326557011,0.467871879823306,0.467509104426256,0.468234655220356,"Assemblage1",0.467871862572679,172,"Rarefaction",0,1095.98201114831,1088.09050844941,1103.87351384721
"4","Assemblage1",258,"Rarefaction",0,1479.50655916187,1459.63712691191,1499.37599141184,0.550290826054726,0.550238927085106,0.550342725024345,"Assemblage1",0.550290827716533,258,"Rarefaction",0,1479.50656789874,1461.57365519767,1497.43948059982
"5","Assemblage1",343,"Rarefaction",0,1805.62314853493,1780.43080330317,1830.81549376669,0.606730804660712,0.6056585462863,0.607803063035123,"Assemblage1",0.606730808527404,343,"Rarefaction",0,1805.62317304879,1784.98730974292,1826.25903635465
"6","Assemblage1",429,"Rarefaction",0,2097.0968992961,2068.33668857928,2125.85711001292,0.649278825928682,0.646690913304161,0.651866738553203,"Assemblage1",0.64927883375201,429,"Rarefaction",0,2097.09695711197,2079.38202850224,2114.81188572169
"7","Assemblage1",515,"Rarefaction",0,2359.03106134748,2328.43316238804,2389.62896030692,0.682526522111454,0.678523966466668,0.686529077756239,"Assemblage1",0.682526518973637,515,"Rarefaction",0,2359.03103500657,2347.95036755156,2370.11170246159
"8","Assemblage1",601,"Rarefaction",0,2597.45625697937,2566.483415638,2628.42909832073,0.709478728921647,0.704308528110024,0.714648929733271,"Assemblage1",0.709478727058181,601,"Rarefaction",0,2597.45623960042,2595.14566415388,2599.76681504695
"9","Assemblage1",686,"Rarefaction",0,2814.10519834583,2783.92396191694,2844.28643477472,0.731711135314451,0.725629934745634,0.737792335883268,"Assemblage1",0.731711130452408,686,"Rarefaction",0,2814.1051488245,2806.70003595463,2821.51026169436
"10","Assemblage1",772,"Rarefaction",0,3017.0852490118,2988.64780881961,3045.522689204,0.750898335186957,0.744090954904552,0.757705715469361,"Assemblage1",0.750898329851311,772,"Rarefaction",0,3017.08519036158,2999.42477320091,3034.74560752226
"11","Assemblage1",858,"Rarefaction",0,3206.03486069752,3180.11452555977,3231.95519583527,0.767533140749315,0.760136985563076,0.774929295935555,"Assemblage1",0.767533138480998,858,"Rarefaction",0,3206.03483406067,3178.02038117525,3234.04928694609
"12","Assemblage1",943,"Rarefaction",0,3380.7465656333,3357.95472000695,3403.53841125964,0.781993871729889,0.77410028727318,0.789887456186598,"Assemblage1",0.781993868028326,943,"Rarefaction",0,3380.74651959681,3342.52345025184,3418.96958894178
"13","Assemblage1",1029,"Rarefaction",0,3546.74280367657,3527.68621960227,3565.79938775087,0.79500265051639,0.786652420957427,0.803352880075353,"Assemblage1",0.795002649046209,1029,"Rarefaction",0,3546.74278441925,3498.2186513747,3595.26691746381
"14","Assemblage1",1115,"Rarefaction",0,3703.06606546675,3688.2704667485,3717.861664185,0.806662869081289,0.797875611367363,0.815450126795214,"Assemblage1",0.80666287282599,1115,"Rarefaction",0,3703.06611684493,3644.20901202183,3761.92322166803
"15","Assemblage1",1201,"Rarefaction",0,3850.68786237175,3840.65266712379,3860.7230576197,0.817189472697311,0.807967053862997,0.826411891531625,"Assemblage1",0.817189469351487,1201,"Rarefaction",0,3850.68781441366,3781.38195488264,3919.99367394468
"16","Assemblage1",1286,"Rarefaction",0,3988.84844187038,3983.9969376358,3993.69994610497,0.826642802453344,0.816981833457311,0.836303771449378,"Assemblage1",0.826642803879984,1286,"Rarefaction",0,3988.84846313044,3909.01796020222,4068.67896605865
"17","Assemblage1",1372,"Rarefaction",0,4121.49855076755,4120.62497391967,4122.37212761544,0.83537601670702,0.82525747185682,0.84549456155722,"Assemblage1",0.835376019066083,1372,"Rarefaction",0,4121.49858726728,4030.7470939925,4212.25008054207
"18","Assemblage1",1458,"Rarefaction",0,4247.5823430654,4240.49975029865,4254.66493583215,0.843379401922397,0.832787448421703,0.853971355423091,"Assemblage1",0.843379400635736,1458,"Rarefaction",0,4247.58232242736,4145.57983078959,4349.58481406513
"19","Assemblage1",1544,"Rarefaction",0,4367.63754045308,4353.8592344712,4381.41584643496,0.850740977097072,0.839660168460537,0.861821785733606,"Assemblage1",0.850740977097072,1543,"Rarefaction",0,4366.27705544381,4252.65684414005,4479.89726674757
"20","Assemblage1",1545,"Observed",0,4369,4355.1409617565,4382.8590382435,0.850823136090093,0.839736572406532,0.861909699773654,"Assemblage1",0.850823136090093,1545,"Observed",0,4369,4255.24227944304,4482.75772055696
"21","Assemblage1",1546,"Extrapolation",0,4370.36170958687,4356.42187296903,4384.30154620471,0.850905249859047,0.839812943094231,0.861997556623862,"Assemblage1",0.850905249859047,1546,"Extrapolation",0,4370.36170958687,4256.4665520227,4484.25686715104
"22","Assemblage1",1627,"Extrapolation",0,4478.2070844445,4457.51366041742,4498.90050847158,0.857408538283535,0.845889605694007,0.868927470873063,"Assemblage1",0.857408538283535,1627,"Extrapolation",0,4478.2070844445,4352.81903419386,4603.59513469514
"23","Assemblage1",1708,"Extrapolation",0,4581.3484064949,4553.52819012391,4609.16862286589,0.863628163062642,0.851754400346986,0.875501925778297,"Assemblage1",0.863628163062642,1708,"Extrapolation",0,4581.3484064949,4443.73911384924,4718.95769914056
"24","Assemblage1",1789,"Extrapolation",0,4679.99085943596,4644.72587656626,4715.25584230566,0.869576497177307,0.857413506859338,0.881739487495275,"Assemblage1",0.869576497177307,1789,"Extrapolation",0,4679.99085943596,4529.40313955379,4830.57857931812
"25","Assemblage1",1871,"Extrapolation",0,4775.46927420485,4732.39544820025,4818.54310020946,0.875334033560989,0.862939188838403,0.887728878283575,"Assemblage1",0.875334033560989,1871,"Extrapolation",0,4775.46927420485,4610.99978220156,4939.93876620815
"26","Assemblage1",1952,"Extrapolation",0,4865.6444672945,4814.63489621395,4916.65403837505,0.880771775236695,0.868202718099955,0.893340832373434,"Assemblage1",0.880771775236695,1952,"Extrapolation",0,4865.6444672945,4688.60748804175,5042.68144654725
"27","Assemblage1",2033,"Extrapolation",0,4951.88635428961,4892.76266090638,5011.01004767284,0.885972330811203,0.873278576699276,0.898666084923129,"Assemblage1",0.885972330811203,2033,"Extrapolation",0,4951.88635428961,4763.91539488779,5139.85731369143
"28","Assemblage1",2114,"Extrapolation",0,5034.36650007741,4966.98879467813,5101.74420547668,0.890946045984982,0.878172530878235,0.903719561091728,"Assemblage1",0.890946045984982,2114,"Extrapolation",0,5034.36650007741,4836.00148013645,5232.73152001836
"29","Assemblage1",2196,"Extrapolation",0,5114.20102704757,5038.36074378922,5190.04131030591,0.895760225135494,0.882947398534751,0.908573051736238,"Assemblage1",0.895760225135494,2196,"Extrapolation",0,5114.20102704757,4905.77534464639,5322.62670944875
"30","Assemblage1",2277,"Extrapolation",0,5189.6012512991,5105.32837860051,5273.87412399768,0.90030700710204,0.887492312224184,0.913121701979897,"Assemblage1",0.90030700710204,2277,"Extrapolation",0,5189.6012512991,4971.67371256572,5407.52879003248
"31","Assemblage1",2358,"Extrapolation",0,5261.71263134174,5168.96337439503,5354.46188828845,0.904655465287878,0.891871994482268,0.917438936093488,"Assemblage1",0.904655465287878,2358,"Extrapolation",0,5261.71263134174,5034.69769293702,5488.72756974645
"32","Assemblage1",2439,"Extrapolation",0,5330.678621606,5229.43528612656,5431.92195708544,0.908814250277593,0.896091741142704,0.921536759412482,"Assemblage1",0.908814250277593,2439,"Extrapolation",0,5330.678621606,5094.97266221555,5566.38458099645
"33","Assemblage1",2521,"Extrapolation",0,5397.43247075585,5287.59626092422,5507.26868058748,0.912839638802956,0.90020596550197,0.925473312103942,"Assemblage1",0.912839638802956,2521,"Extrapolation",0,5397.43247075585,5153.31426205793,5641.55067945377
"34","Assemblage1",2602,"Extrapolation",0,5460.47856605535,5342.18168986482,5578.77544224588,0.916641442471502,0.904119423455937,0.929163461487068,"Assemblage1",0.916641442471502,2602,"Extrapolation",0,5460.47856605535,5208.41535525978,5712.54177685092
"35","Assemblage1",2683,"Extrapolation",0,5520.77468564222,5394.06349845957,5647.48587282487,0.920277417190562,0.907888159897412,0.932666674483713,"Assemblage1",0.920277417190562,2683,"Extrapolation",0,5520.77468564222,5261.11302177319,5780.43634951125
"36","Assemblage1",2764,"Extrapolation",0,5578.44077931484,5443.37865704848,5713.5029015812,0.92375479616913,0.911516978477482,0.935992613860778,"Assemblage1",0.92375479616913,2764,"Extrapolation",0,5578.44077931484,5311.51209545011,5845.36946317957
"37","Assemblage1",2846,"Extrapolation",0,5634.2571853917,5490.8210983052,5777.6932724782,0.9271206353441,0.915052864554352,0.939188406133848,"Assemblage1",0.9271206353441,2846,"Extrapolation",0,5634.2571853917,5360.29457720133,5908.21979358208
"38","Assemblage1",2927,"Extrapolation",0,5686.97334336033,5535.35810406207,5838.5885826586,0.930299523454531,0.918414181256281,0.942184865652781,"Assemblage1",0.930299523454531,2927,"Extrapolation",0,5686.97334336033,5406.3675008245,5967.57918589617
"39","Assemblage1",3008,"Extrapolation",0,5737.39010192305,5577.69976911149,5897.0804347346,0.933339753253842,0.921649308839663,0.945030197668022,"Assemblage1",0.933339753253842,3008,"Extrapolation",0,5737.39010192305,5450.4307929174,6024.34941092869
"40","Assemblage1",3090,"Extrapolation",0,5786.18970130274,5618.44124929216,5953.93815331332,0.936282465170636,0.924800252336751,0.94776467800452,"Assemblage1",0.936282465170636,3090,"Extrapolation",0,5786.18970130274,5493.08071851327,6079.29868409221
